atm_id;bank;lat;lon
111;Alfa-Bank;55.8839075;37.6669049
112;Alfa-Bank;55.8863119;37.6760207
113;Alfa-Bank;55.7472603;37.7572203
114;Sber;55.7032861;37.8457975
115;Alfa-Bank;55.7088041;37.6563027
116;Sber;55.7239037;37.8256062
117;Sber;55.7527263;37.6036403
118;Sber;55.8074341;37.5096231
119;Sber;55.8100566;37.5090901
120;Sber;55.7723896;37.5915714
121;Sber;55.6412581;37.6169817
122;Alfa-Bank;55.7191796;37.7790501
123;Sber;55.7682006;37.6320049
124;Sber;55.6368604;37.6533532
125;Sber;55.534375;37.52139
126;Alfa-Bank;55.6402065;37.622666
127;Sber;55.6439592;37.7306342
128;Alfa-Bank;55.6442378;37.7305484
129;Sber;55.8272223;37.5975165
130;Sber;55.6350635;37.4366885
131;Alfa-Bank;55.9818321;37.1688251
132;Alfa-Bank;55.5920255;37.6328339
133;Sber;55.5920085;37.6328319
134;Alfa-Bank;55.8986257;37.5914999
135;Sber;55.6324488;37.6805356
136;Alfa-Bank;55.8077562;37.5117532
137;Sber;55.7880573;37.7872617
138;Alfa-Bank;56.0084608;37.200211
139;Sber;55.9964125;37.2159978
140;Sber;55.6310848;37.5168766
141;Sber;55.995058;37.2075375
142;Sber;55.4661715;36.9403944
143;Sber;55.6109799;37.6969183
144;Sber;55.6345822;37.7607471
145;Sber;55.6399298;37.7586954
146;Sber;55.9837779;37.2337818
147;Sber;55.7587608;37.6101294
148;Sber;55.7525041;37.8189228
149;Sber;55.790079;37.8107552
150;Sber;55.6571524;37.4070424
151;Alfa-Bank;55.6588906;37.40198
152;Sber;55.6140884;37.6062689
153;Sber;55.7316578;37.836729
154;Sber;55.6838846;37.9279656
155;Sber;55.7565808;37.6613981
156;Alfa-Bank;55.7748365;37.6505064
157;Sber;55.7598241;37.6298695
158;Sber;55.7867823;37.7334841
159;Alfa-Bank;55.7713861;37.6415768
160;Sber;55.7724449;37.6475147
161;Sber;55.6999325;37.6245286
162;Sber;55.7709924;37.6203607
163;Sber;55.7090539;37.6219808
164;Sber;55.7181184;37.7844803
165;Sber;55.6604306;37.7516877
166;Sber;55.7022246;37.6889482
167;Sber;55.8094441;37.7054515
168;Sber;55.763716;37.7333189
169;Sber;55.8301637;37.6381723
170;Alfa-Bank;55.8156896;37.7162148
171;Sber;55.8153767;37.7156751
172;Sber;55.7743029;37.6551531
173;Sber;55.7743081;37.6551806
174;Sber;55.7743133;37.6552081
175;Alfa-Bank;55.7743185;37.6552356
176;Sber;55.7428371;37.5673787
177;Sber;55.7429764;37.5677925
178;Sber;55.7044072;37.7698984
179;Sber;55.6006485;37.5988147
180;Sber;55.6302526;37.6240898
181;Sber;55.6547472;37.6390949
182;Alfa-Bank;55.8060076;37.5814632
183;Sber;55.5478719;37.5501815
184;Sber;55.7072896;37.5904559
185;Sber;55.7593555;37.7596418
186;Alfa-Bank;55.6309192;37.6241875
187;Alfa-Bank;55.7971968;37.6193273
188;Sber;55.8225286;37.4981836
189;Alfa-Bank;55.7671522;37.8292743
190;Alfa-Bank;55.7339142;37.624518
191;Sber;55.6335112;37.4393323
192;Sber;55.6339255;37.4409209
193;Sber;55.6340079;37.4418355
194;Sber;55.9826922;37.2033947
195;Sber;55.8268706;37.4443242
196;Alfa-Bank;55.7449748;37.5099174
197;Alfa-Bank;55.5831779;37.5953813
198;Sber;55.8518964;37.3475341
199;Alfa-Bank;55.7932658;37.8154926
200;Sber;55.7461073;37.6206912
201;Sber;55.7998853;37.4073326
202;Alfa-Bank;55.782027;37.704707
203;Sber;55.5391397;37.5736648
204;Sber;55.5394014;37.5736796
205;Sber;55.5392338;37.5737077
206;Sber;55.5424248;37.5723489
207;Alfa-Bank;55.7333307;37.5924888
208;Sber;55.737557;37.6602806
209;Sber;55.7385399;37.6742518
210;Sber;55.7602338;37.5768504
211;Sber;55.6039913;37.491888
212;Sber;55.6065032;37.490915
213;Sber;55.8119078;37.8305901
214;Sber;55.8806308;37.6946504
215;Sber;55.5516801;37.5285763
216;Sber;55.8001196;37.2992448
217;Sber;55.7786213;37.7266177
218;Sber;55.7944355;37.587674
219;Sber;55.7944376;37.5877572
220;Sber;55.6843179;37.3415736
221;Sber;55.6756064;37.4348503
222;Sber;55.6957815;37.6653976
223;Sber;55.7296996;37.6395633
224;Alfa-Bank;55.7298792;37.6394518
225;Sber;55.7655301;37.6103051
226;Sber;55.6080705;37.5325864
227;Sber;55.8575956;37.5150404
228;Sber;55.6983078;37.5305514
229;Sber;55.7677602;37.620791
230;Sber;55.811955;37.5682826
231;Sber;55.8448956;37.3659222
232;Alfa-Bank;55.7181515;37.7845751
233;Sber;55.677373;37.7568613
234;Sber;55.7389259;37.6149639
235;Sber;55.7389441;37.6149595
236;Sber;55.6515208;37.5978703
237;Sber;55.9834929;37.1738918
238;Alfa-Bank;55.7555276;37.6149497
239;Sber;55.7736529;37.637526
240;Sber;55.7452125;37.7064413
241;Sber;55.8056213;37.5153334
242;Sber;55.6871409;37.5734917
243;Sber;55.7351943;37.6069889
